O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
11-3061.00,Purchasing Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",3
11-3061.00,Purchasing Managers,13-1041.07,Regulatory Affairs Specialists,4
11-3061.00,Purchasing Managers,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5
11-3061.00,Purchasing Managers,13-2031.00,Budget Analysts,6
11-3061.00,Purchasing Managers,13-2011.02,Auditors,7
11-3061.00,Purchasing Managers,13-1199.03,Customs Brokers,8
11-3061.00,Purchasing Managers,13-1051.00,Cost Estimators,9
11-3061.00,Purchasing Managers,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",10
11-3071.01,Transportation Managers,11-3061.00,Purchasing Managers,1
11-3071.01,Transportation Managers,11-9199.01,Regulatory Affairs Managers,2
11-3071.01,Transportation Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",3
11-3071.01,Transportation Managers,41-3031.02,"Sales Agents, Financial Services",4
11-3071.01,Transportation Managers,41-3031.01,"Sales Agents, Securities and Commodities",5
11-3071.01,Transportation Managers,11-2021.00,Marketing Managers,6
11-3071.01,Transportation Managers,13-1031.01,"Claims Examiners, Property and Casualty Insurance",7
11-3071.01,Transportation Managers,13-1041.07,Regulatory Affairs Specialists,8
11-3071.01,Transportation Managers,11-3011.00,Administrative Services Managers,9
11-3071.01,Transportation Managers,13-1199.03,Customs Brokers,10
11-3071.02,Storage and Distribution Managers,13-1021.00,"Buyers and Purchasing Agents, Farm Products",1
11-3071.02,Storage and Distribution Managers,11-9199.04,Supply Chain Managers,2
11-3071.02,Storage and Distribution Managers,11-3071.01,Transportation Managers,3
11-3071.02,Storage and Distribution Managers,13-2021.02,"Appraisers, Real Estate",4
11-3071.02,Storage and Distribution Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,5
11-3071.02,Storage and Distribution Managers,13-1121.00,"Meeting, Convention, and Event Planners",6
11-3071.02,Storage and Distribution Managers,11-9131.00,Postmasters and Mail Superintendents,7
11-3071.02,Storage and Distribution Managers,11-9081.00,Lodging Managers,8
11-3071.02,Storage and Distribution Managers,11-3051.00,Industrial Production Managers,9
11-3071.02,Storage and Distribution Managers,11-3011.00,Administrative Services Managers,10
11-3071.03,Logistics Managers,11-9199.04,Supply Chain Managers,1
11-3071.03,Logistics Managers,13-1041.07,Regulatory Affairs Specialists,2
11-3071.03,Logistics Managers,13-1051.00,Cost Estimators,3
11-3071.03,Logistics Managers,11-3071.01,Transportation Managers,4
11-3071.03,Logistics Managers,11-9199.01,Regulatory Affairs Managers,5
11-3071.03,Logistics Managers,13-1031.01,"Claims Examiners, Property and Casualty Insurance",6
11-3071.03,Logistics Managers,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",7
11-3071.03,Logistics Managers,13-2099.02,Risk Management Specialists,8
11-3071.03,Logistics Managers,13-2053.00,Insurance Underwriters,9
11-3071.03,Logistics Managers,11-9141.00,"Property, Real Estate, and Community Association Managers",10
11-3111.00,Compensation and Benefits Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,1
11-3111.00,Compensation and Benefits Managers,13-2072.00,Loan Officers,2
11-3111.00,Compensation and Benefits Managers,11-9199.01,Regulatory Affairs Managers,3
11-3111.00,Compensation and Benefits Managers,41-3031.01,"Sales Agents, Securities and Commodities",4
11-3111.00,Compensation and Benefits Managers,11-9111.00,Medical and Health Services Managers,5
11-3111.00,Compensation and Benefits Managers,11-3071.01,Transportation Managers,6
11-3111.00,Compensation and Benefits Managers,41-3021.00,Insurance Sales Agents,7
11-3111.00,Compensation and Benefits Managers,13-1081.00,Logisticians,8
11-3111.00,Compensation and Benefits Managers,11-3031.02,"Financial Managers, Branch or Department",9
11-3111.00,Compensation and Benefits Managers,13-2052.00,Personal Financial Advisors,10
11-3121.00,Human Resources Managers,11-9151.00,Social and Community Service Managers,1
11-3121.00,Human Resources Managers,11-3131.00,Training and Development Managers,2
11-3121.00,Human Resources Managers,11-9111.00,Medical and Health Services Managers,3
11-3121.00,Human Resources Managers,13-1041.03,Equal Opportunity Representatives and Officers,4
11-3121.00,Human Resources Managers,11-9032.00,"Education Administrators, Elementary and Secondary School",5
11-3121.00,Human Resources Managers,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,6
11-3121.00,Human Resources Managers,13-2071.01,Loan Counselors,7
11-3121.00,Human Resources Managers,13-1081.00,Logisticians,8
11-3121.00,Human Resources Managers,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,9
11-3121.00,Human Resources Managers,41-3021.00,Insurance Sales Agents,10
11-3131.00,Training and Development Managers,11-9151.00,Social and Community Service Managers,1
11-3131.00,Training and Development Managers,11-9032.00,"Education Administrators, Elementary and Secondary School",2
11-3131.00,Training and Development Managers,13-1151.00,Training and Development Specialists,3
11-3131.00,Training and Development Managers,11-2011.00,Advertising and Promotions Managers,4
11-3131.00,Training and Development Managers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",5
11-3131.00,Training and Development Managers,27-3031.00,Public Relations Specialists,6
11-3131.00,Training and Development Managers,23-1022.00,"Arbitrators, Mediators, and Conciliators",7
11-3131.00,Training and Development Managers,13-1041.03,Equal Opportunity Representatives and Officers,8
11-3131.00,Training and Development Managers,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",9
11-3131.00,Training and Development Managers,25-9031.00,Instructional Coordinators,10
11-9013.01,Nursery and Greenhouse Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,1
11-9013.01,Nursery and Greenhouse Managers,11-9013.03,Aquacultural Managers,2
11-9013.01,Nursery and Greenhouse Managers,35-1011.00,Chefs and Head Cooks,3
11-9013.01,Nursery and Greenhouse Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",4
11-9013.01,Nursery and Greenhouse Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,5
11-9013.01,Nursery and Greenhouse Managers,11-9051.00,Food Service Managers,6
11-9013.01,Nursery and Greenhouse Managers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",7
11-9013.01,Nursery and Greenhouse Managers,45-1011.06,First-Line Supervisors of Aquacultural Workers,8
11-9013.01,Nursery and Greenhouse Managers,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,9
11-9013.01,Nursery and Greenhouse Managers,11-9081.00,Lodging Managers,10
11-9013.03,Aquacultural Managers,45-1011.06,First-Line Supervisors of Aquacultural Workers,1
11-9013.03,Aquacultural Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,2
11-9013.03,Aquacultural Managers,19-1031.01,Soil and Water Conservationists,3
11-9013.03,Aquacultural Managers,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,4
11-9013.03,Aquacultural Managers,41-9031.00,Sales Engineers,5
11-9013.03,Aquacultural Managers,53-5031.00,Ship Engineers,6
11-9013.03,Aquacultural Managers,53-6051.01,Aviation Inspectors,7
11-9013.03,Aquacultural Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",8
11-9013.03,Aquacultural Managers,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",9
11-9013.03,Aquacultural Managers,25-4013.00,Museum Technicians and Conservators,10
11-9021.00,Construction Managers,11-3071.01,Transportation Managers,1
11-9021.00,Construction Managers,11-9199.04,Supply Chain Managers,2
11-9021.00,Construction Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,3
11-9021.00,Construction Managers,11-3061.00,Purchasing Managers,4
11-9021.00,Construction Managers,11-3071.03,Logistics Managers,5
11-9021.00,Construction Managers,11-2022.00,Sales Managers,6
11-9021.00,Construction Managers,41-9031.00,Sales Engineers,7
11-9021.00,Construction Managers,53-1031.00,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,8
11-9021.00,Construction Managers,11-9199.01,Regulatory Affairs Managers,9
11-9021.00,Construction Managers,53-1021.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",10
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-9151.00,Social and Community Service Managers,1
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",23-1022.00,"Arbitrators, Mediators, and Conciliators",2
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-9032.00,"Education Administrators, Elementary and Secondary School",3
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",21-1012.00,"Educational, Guidance, School, and Vocational Counselors",4
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",25-2012.00,"Kindergarten Teachers, Except Special Education",5
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",25-9031.00,Instructional Coordinators,6
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-3121.00,Human Resources Managers,7
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",11-3131.00,Training and Development Managers,8
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",13-1041.03,Equal Opportunity Representatives and Officers,9
11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",21-1013.00,Marriage and Family Therapists,10
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9151.00,Social and Community Service Managers,1
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",2
11-9032.00,"Education Administrators, Elementary and Secondary School",11-3131.00,Training and Development Managers,3
11-9032.00,"Education Administrators, Elementary and Secondary School",11-3121.00,Human Resources Managers,4
11-9032.00,"Education Administrators, Elementary and Secondary School",23-1022.00,"Arbitrators, Mediators, and Conciliators",5
11-9032.00,"Education Administrators, Elementary and Secondary School",23-1023.00,"Judges, Magistrate Judges, and Magistrates",6
11-9032.00,"Education Administrators, Elementary and Secondary School",13-1041.03,Equal Opportunity Representatives and Officers,7
11-9032.00,"Education Administrators, Elementary and Secondary School",11-2031.00,Public Relations and Fundraising Managers,8
11-9032.00,"Education Administrators, Elementary and Secondary School",11-9161.00,Emergency Management Directors,9
11-9032.00,"Education Administrators, Elementary and Secondary School",13-1151.00,Training and Development Specialists,10
11-9033.00,"Education Administrators, Postsecondary",11-9111.00,Medical and Health Services Managers,1
11-9033.00,"Education Administrators, Postsecondary",11-3131.00,Training and Development Managers,2
11-9033.00,"Education Administrators, Postsecondary",11-2021.00,Marketing Managers,3
11-9033.00,"Education Administrators, Postsecondary",11-2031.00,Public Relations and Fundraising Managers,4
11-9033.00,"Education Administrators, Postsecondary",11-9151.00,Social and Community Service Managers,5
11-9033.00,"Education Administrators, Postsecondary",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",6
11-9033.00,"Education Administrators, Postsecondary",23-1023.00,"Judges, Magistrate Judges, and Magistrates",7
11-9033.00,"Education Administrators, Postsecondary",11-3031.02,"Financial Managers, Branch or Department",8
11-9033.00,"Education Administrators, Postsecondary",23-1022.00,"Arbitrators, Mediators, and Conciliators",9
11-9033.00,"Education Administrators, Postsecondary",11-1011.00,Chief Executives,10
11-9041.00,Architectural and Engineering Managers,11-9121.00,Natural Sciences Managers,1
11-9041.00,Architectural and Engineering Managers,17-2171.00,Petroleum Engineers,2
11-9041.00,Architectural and Engineering Managers,13-2099.02,Risk Management Specialists,3
11-9041.00,Architectural and Engineering Managers,11-3031.01,Treasurers and Controllers,4
11-9041.00,Architectural and Engineering Managers,11-9199.04,Supply Chain Managers,5
11-9041.00,Architectural and Engineering Managers,41-9031.00,Sales Engineers,6
11-9041.00,Architectural and Engineering Managers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",7
11-9041.00,Architectural and Engineering Managers,11-3071.01,Transportation Managers,8
11-9041.00,Architectural and Engineering Managers,13-1081.01,Logistics Engineers,9
11-9041.00,Architectural and Engineering Managers,11-3021.00,Computer and Information Systems Managers,10
11-9051.00,Food Service Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,1
11-9051.00,Food Service Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,2
11-9051.00,Food Service Managers,35-1012.00,First-Line Supervisors of Food Preparation and Serving Workers,3
11-9051.00,Food Service Managers,39-4031.00,"Morticians, Undertakers, and Funeral Directors",4
11-9051.00,Food Service Managers,11-9071.00,Gaming Managers,5
11-9051.00,Food Service Managers,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers,6
11-9051.00,Food Service Managers,11-3051.00,Industrial Production Managers,7
11-9051.00,Food Service Managers,11-9013.01,Nursery and Greenhouse Managers,8
11-9051.00,Food Service Managers,11-9081.00,Lodging Managers,9
11-9051.00,Food Service Managers,51-1011.00,First-Line Supervisors of Production and Operating Workers,10
11-9071.00,Gaming Managers,11-3051.00,Industrial Production Managers,1
11-9071.00,Gaming Managers,11-9051.00,Food Service Managers,2
11-9071.00,Gaming Managers,39-1011.00,Gaming Supervisors,3
11-9071.00,Gaming Managers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,4
11-9071.00,Gaming Managers,11-9161.00,Emergency Management Directors,5
11-9071.00,Gaming Managers,11-9151.00,Social and Community Service Managers,6
11-9071.00,Gaming Managers,11-1021.00,General and Operations Managers,7
11-9071.00,Gaming Managers,11-9131.00,Postmasters and Mail Superintendents,8
11-9071.00,Gaming Managers,11-2022.00,Sales Managers,9
11-9071.00,Gaming Managers,41-3021.00,Insurance Sales Agents,10
11-9081.00,Lodging Managers,11-3051.00,Industrial Production Managers,1
11-9081.00,Lodging Managers,13-1121.00,"Meeting, Convention, and Event Planners",2
11-9081.00,Lodging Managers,41-9022.00,Real Estate Sales Agents,3
11-9081.00,Lodging Managers,11-9051.00,Food Service Managers,4
11-9081.00,Lodging Managers,41-1011.00,First-Line Supervisors of Retail Sales Workers,5
11-9081.00,Lodging Managers,39-4031.00,"Morticians, Undertakers, and Funeral Directors",6
11-9081.00,Lodging Managers,41-3021.00,Insurance Sales Agents,7
11-9081.00,Lodging Managers,11-1021.00,General and Operations Managers,8
11-9081.00,Lodging Managers,11-9131.00,Postmasters and Mail Superintendents,9
11-9081.00,Lodging Managers,39-7012.00,Travel Guides,10
11-9111.00,Medical and Health Services Managers,11-3121.00,Human Resources Managers,1
11-9111.00,Medical and Health Services Managers,13-1041.03,Equal Opportunity Representatives and Officers,2
11-9111.00,Medical and Health Services Managers,41-3031.01,"Sales Agents, Securities and Commodities",3
11-9111.00,Medical and Health Services Managers,11-2031.00,Public Relations and Fundraising Managers,4
11-9111.00,Medical and Health Services Managers,19-3032.00,Industrial-Organizational Psychologists,5
11-9111.00,Medical and Health Services Managers,11-9151.00,Social and Community Service Managers,6
11-9111.00,Medical and Health Services Managers,11-2021.00,Marketing Managers,7
11-9111.00,Medical and Health Services Managers,11-3111.00,Compensation and Benefits Managers,8
11-9111.00,Medical and Health Services Managers,11-1011.00,Chief Executives,9
11-9111.00,Medical and Health Services Managers,27-3031.00,Public Relations Specialists,10
11-9121.00,Natural Sciences Managers,11-9041.00,Architectural and Engineering Managers,1
11-9121.00,Natural Sciences Managers,13-2099.04,"Fraud Examiners, Investigators and Analysts",2
11-9121.00,Natural Sciences Managers,13-2099.02,Risk Management Specialists,3
11-9121.00,Natural Sciences Managers,11-9199.04,Supply Chain Managers,4
11-9121.00,Natural Sciences Managers,17-2171.00,Petroleum Engineers,5
11-9121.00,Natural Sciences Managers,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",6
11-9121.00,Natural Sciences Managers,17-2111.02,Fire-Prevention and Protection Engineers,7
11-9121.00,Natural Sciences Managers,13-1081.01,Logistics Engineers,8
11-9121.00,Natural Sciences Managers,11-3071.01,Transportation Managers,9
11-9121.00,Natural Sciences Managers,19-2032.00,Materials Scientists,10
11-9121.01,Clinical Research Coordinators,13-2099.02,Risk Management Specialists,1
11-9121.01,Clinical Research Coordinators,11-9199.01,Regulatory Affairs Managers,2
11-9121.01,Clinical Research Coordinators,13-2051.00,Financial Analysts,3
11-9121.01,Clinical Research Coordinators,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",4
11-9121.01,Clinical Research Coordinators,19-3051.00,Urban and Regional Planners,5
11-9121.01,Clinical Research Coordinators,13-2061.00,Financial Examiners,6
11-9121.01,Clinical Research Coordinators,13-1031.01,"Claims Examiners, Property and Casualty Insurance",7
11-9121.01,Clinical Research Coordinators,19-3022.00,Survey Researchers,8
11-9121.01,Clinical Research Coordinators,13-1161.00,Market Research Analysts and Marketing Specialists,9
11-9121.01,Clinical Research Coordinators,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10
11-9131.00,Postmasters and Mail Superintendents,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,1
11-9131.00,Postmasters and Mail Superintendents,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,2
11-9131.00,Postmasters and Mail Superintendents,11-3061.00,Purchasing Managers,3
11-9131.00,Postmasters and Mail Superintendents,41-3021.00,Insurance Sales Agents,4
11-9131.00,Postmasters and Mail Superintendents,39-1011.00,Gaming Supervisors,5
11-9131.00,Postmasters and Mail Superintendents,11-9141.00,"Property, Real Estate, and Community Association Managers",6
11-9131.00,Postmasters and Mail Superintendents,13-1031.01,"Claims Examiners, Property and Casualty Insurance",7
11-9131.00,Postmasters and Mail Superintendents,11-9199.04,Supply Chain Managers,8
11-9131.00,Postmasters and Mail Superintendents,11-9199.01,Regulatory Affairs Managers,9
11-9131.00,Postmasters and Mail Superintendents,11-9051.00,Food Service Managers,10
11-9141.00,"Property, Real Estate, and Community Association Managers",41-9021.00,Real Estate Brokers,1
11-9141.00,"Property, Real Estate, and Community Association Managers",41-3021.00,Insurance Sales Agents,2
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9199.01,Regulatory Affairs Managers,3
11-9141.00,"Property, Real Estate, and Community Association Managers",13-1199.03,Customs Brokers,4
11-9141.00,"Property, Real Estate, and Community Association Managers",41-9022.00,Real Estate Sales Agents,5
11-9141.00,"Property, Real Estate, and Community Association Managers",41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",6
11-9141.00,"Property, Real Estate, and Community Association Managers",39-1011.00,Gaming Supervisors,7
11-9141.00,"Property, Real Estate, and Community Association Managers",11-3071.01,Transportation Managers,8
11-9141.00,"Property, Real Estate, and Community Association Managers",11-9131.00,Postmasters and Mail Superintendents,9
11-9141.00,"Property, Real Estate, and Community Association Managers",13-1081.00,Logisticians,10
11-9151.00,Social and Community Service Managers,11-3121.00,Human Resources Managers,1
11-9151.00,Social and Community Service Managers,11-3131.00,Training and Development Managers,2
11-9151.00,Social and Community Service Managers,13-1041.03,Equal Opportunity Representatives and Officers,3
11-9151.00,Social and Community Service Managers,21-2021.00,"Directors, Religious Activities and Education",4
11-9151.00,Social and Community Service Managers,11-2031.00,Public Relations and Fundraising Managers,5
